Wave Data provided @ 13:15hrs on 27-08-2023,,,,,,
Site, DateTime, Hsig, Hmax, Tp, Tz, Direction
Caloundra,2023-08-20T00:00:00,0.371,0.75,12.5,5.263,92.8
Caloundra,2023-08-20T00:30:00,0.362,0.65,13.33,6.154,98.4
Caloundra,2023-08-20T01:30:00,0.425,0.7,13.33,6.154,91.4
Caloundra,2023-08-20T02:00:00,0.423,0.7,13.33,6.452,95.6
Caloundra,2023-08-20T02:30:00,0.426,0.77,12.5,6.557,92.8
Caloundra,2023-08-20T03:00:00,0.403,0.69,13.33,6.667,108.3
Caloundra,2023-08-20T03:30:00,0.437,0.75,13.33,6.897,88.6
Caloundra,2023-08-20T04:00:00,0.459,0.85,13.33,8,98.4
Caloundra,2023-08-20T04:30:00,0.471,0.83,12.5,8,101.3
Caloundra,2023-08-20T05:00:00,0.557,0.98,12.5,7.692,98.4
Caloundra,2023-08-20T05:30:00,0.511,0.87,13.33,8.511,95.6
Caloundra,2023-08-20T06:00:00,0.531,0.87,11.76,8.511,101.3
Caloundra,2023-08-20T06:30:00,0.588,0.98,11.76,8.696,101.3
Caloundra,2023-08-20T07:00:00,0.521,0.91,11.11,9.091,118.1
Caloundra,2023-08-20T07:30:00,0.552,0.9,11.11,8,113.9
Caloundra,2023-08-20T08:00:00,0.506,0.97,12.5,7.843,105.5
Caloundra,2023-08-20T08:30:00,0.519,0.83,11.11,7.547,102.7
Caloundra,2023-08-20T09:00:00,0.508,0.86,13.33,7.692,106.9
Caloundra,2023-08-20T09:30:00,0.443,1.01,13.33,8,98.4
Caloundra,2023-08-20T10:00:00,0.53,0.94,12.5,7.018,101.3
Caloundra,2023-08-20T10:30:00,0.485,0.89,12.5,7.547,105.5
Caloundra,2023-08-20T11:00:00,0.473,0.72,10.53,7.018,106.9
Caloundra,2023-08-20T11:30:00,0.584,1.01,11.76,6.667,101.3
Caloundra,2023-08-20T12:00:00,0.531,0.91,11.76,7.843,108.3
Caloundra,2023-08-20T12:30:00,0.495,0.8,11.11,7.407,102.7
Caloundra,2023-08-20T13:00:00,0.469,0.78,12.5,5.97,104.1
Caloundra,2023-08-20T13:30:00,0.478,0.79,11.76,6.154,97
Caloundra,2023-08-20T14:00:00,0.504,0.96,11.76,6.78,99.8
Caloundra,2023-08-20T14:30:00,0.465,0.7,10.53,6.349,99.8
Caloundra,2023-08-20T15:00:00,0.508,0.86,11.76,5.556,98.4
Caloundra,2023-08-20T15:30:00,0.465,0.93,12.5,5.797,90
Caloundra,2023-08-20T16:00:00,0.445,0.67,11.76,5.063,99.8
Caloundra,2023-08-20T16:30:00,0.438,0.7,11.76,5.405,99.8
Caloundra,2023-08-20T17:00:00,0.457,0.75,12.5,5.556,94.2
Caloundra,2023-08-20T17:30:00,0.421,0.68,11.76,5.479,101.3
Caloundra,2023-08-20T18:00:00,0.432,0.85,10.53,5.195,98.4
Caloundra,2023-08-20T18:30:00,0.429,0.71,11.11,5.479,111.1
Caloundra,2023-08-20T19:00:00,0.389,0.75,11.11,5.063,112.5
Caloundra,2023-08-20T19:30:00,0.401,0.86,10.53,4.651,99.8
Caloundra,2023-08-20T20:00:00,0.379,0.73,13.33,5.263,91.4
Caloundra,2023-08-20T20:30:00,0.421,0.67,13.33,5.063,102.7
Caloundra,2023-08-20T21:00:00,0.37,0.66,12.5,5.063,105.5
Caloundra,2023-08-20T21:30:00,0.366,0.65,13.33,5.128,102.7
Caloundra,2023-08-20T22:00:00,0.387,0.66,12.5,5.333,95.6
Caloundra,2023-08-20T23:00:00,0.384,0.66,11.76,5.405,104.1
Caloundra,2023-08-20T23:30:00,0.387,0.59,13.33,5.797,92.8
Caloundra,2023-08-21T00:00:00,0.422,0.7,12.5,5.97,106.9
Caloundra,2023-08-21T00:30:00,0.417,0.75,12.5,6.349,97
Caloundra,2023-08-21T01:00:00,0.408,0.59,11.11,6.349,95.6
Caloundra,2023-08-21T01:30:00,0.419,0.69,12.5,6.349,88.6
Caloundra,2023-08-21T02:00:00,0.418,0.61,12.5,6.25,88.6
Caloundra,2023-08-21T02:30:00,0.419,0.62,13.33,6.557,97
Caloundra,2023-08-21T03:00:00,0.412,0.66,13.33,6.061,87.2
Caloundra,2023-08-21T03:30:00,0.405,0.66,12.5,7.018,87.2
Caloundra,2023-08-21T04:00:00,0.422,0.67,12.5,6.78,95.6
Caloundra,2023-08-21T04:30:00,0.394,0.66,11.76,7.143,94.2
Caloundra,2023-08-21T05:00:00,0.436,0.63,10.53,7.018,98.4
Caloundra,2023-08-21T05:30:00,0.446,0.82,11.76,7.407,105.5
Caloundra,2023-08-21T06:00:00,0.356,0.6,11.76,6.667,95.6
Caloundra,2023-08-21T06:30:00,0.4,0.63,12.5,6.154,94.2
Caloundra,2023-08-21T07:00:00,0.415,0.69,10.53,6.452,105.5
Caloundra,2023-08-21T07:30:00,0.42,0.73,12.5,6.557,97
Caloundra,2023-08-21T08:00:00,0.431,0.68,13.33,5.797,95.6
Caloundra,2023-08-21T08:30:00,0.417,0.72,11.11,6.452,113.9
Caloundra,2023-08-21T09:00:00,0.42,0.68,11.76,6.452,104.1
Caloundra,2023-08-21T09:30:00,0.428,0.89,12.5,5.797,101.3
Caloundra,2023-08-21T10:00:00,0.388,0.78,11.11,6.061,113.9
Caloundra,2023-08-21T10:30:00,0.428,0.74,11.76,5.634,101.3
Caloundra,2023-08-21T11:00:00,0.4,0.63,13.33,5.714,104.1
Caloundra,2023-08-21T11:30:00,0.414,0.65,12.5,5.479,102.7
Caloundra,2023-08-21T12:00:00,0.389,0.71,10.53,5.797,106.9
Caloundra,2023-08-21T12:30:00,0.389,0.72,12.5,5.797,111.1
Caloundra,2023-08-21T13:00:00,0.469,0.85,11.76,5.634,106.9
Caloundra,2023-08-21T13:30:00,0.419,0.66,12.5,5.97,95.6
Caloundra,2023-08-21T14:00:00,0.427,0.72,12.5,5.556,97
Caloundra,2023-08-21T14:30:00,0.429,0.7,12.5,5.797,99.8
Caloundra,2023-08-21T15:00:00,0.45,0.68,13.33,5.063,95.6
Caloundra,2023-08-21T15:30:00,0.462,0.76,10.53,4.819,108.3
Caloundra,2023-08-21T16:00:00,0.463,0.8,10.53,4.762,104.1
Caloundra,2023-08-21T16:30:00,0.443,0.79,11.11,4.598,104.1
Caloundra,2023-08-21T17:00:00,0.421,0.81,12.5,4.396,87.2
Caloundra,2023-08-21T17:30:00,0.439,0.73,12.5,3.922,88.6
Caloundra,2023-08-21T18:00:00,0.451,0.84,12.5,3.922,91.4
Caloundra,2023-08-21T18:30:00,0.483,0.95,12.5,4.082,90
Caloundra,2023-08-21T19:00:00,0.422,0.91,10.53,4,111.1
Caloundra,2023-08-21T19:30:00,0.442,0.79,11.76,3.846,101.3
Caloundra,2023-08-21T20:00:00,0.453,0.87,11.76,3.846,102.7
Caloundra,2023-08-21T20:30:00,0.426,0.8,12.5,3.81,104.1
Caloundra,2023-08-21T21:00:00,0.435,0.84,12.5,3.704,108.3
Caloundra,2023-08-21T21:30:00,0.414,0.86,12.5,3.738,109.7
Caloundra,2023-08-21T22:00:00,0.44,0.88,11.76,3.636,112.5
Caloundra,2023-08-21T22:30:00,0.409,0.81,11.76,3.67,102.7
Caloundra,2023-08-21T23:00:00,0.429,0.8,12.5,3.774,108.3
Caloundra,2023-08-21T23:30:00,0.418,0.78,12.5,4.444,97
Caloundra,2023-08-22T00:00:00,0.426,0.68,13.33,4.255,97
Caloundra,2023-08-22T00:30:00,0.433,0.74,13.33,4.167,99.8
Caloundra,2023-08-22T01:00:00,0.436,0.83,13.33,4.598,98.4
Caloundra,2023-08-22T01:30:00,0.407,0.82,12.5,4.444,92.8
Caloundra,2023-08-22T02:00:00,0.45,0.87,13.33,4.545,109.7
Caloundra,2023-08-22T02:30:00,0.482,0.82,12.5,4.762,85.8
Caloundra,2023-08-22T03:00:00,0.433,0.77,11.76,4.706,92.8
Caloundra,2023-08-22T03:30:00,0.463,0.8,12.5,4.762,90
Caloundra,2023-08-22T04:00:00,0.439,0.63,11.11,4.819,91.4
Caloundra,2023-08-22T04:30:00,0.442,0.75,11.76,4.444,91.4
